international_actor_code,international_actor,international_actor_region
IGOAFB,African Development Bank,Africa
IGOABD,Arab Bank for Economic Development in Africa,Africa
IGOBCA,Bank of Central African States (BEAC),Africa
IGOCEM,Common Market for Eastern and Southern Africa,Africa
IGOCSS,Community of Sahel-Saharan States (CENSAD),Africa
IGOATD,Eastern and Southern African Trade and Development Bank,Africa
IGOUEM,Economic and Monetary Union of West Africa (UEMOA),Africa
IGOECA,Economic Community of Central African States,Africa
IGOWAS,Economic Community of West African States (ECOWAS),Africa
IGOCFA,Franc Zone Financial Community of Africa,Africa
IGOIAC,Inter-African Coffee Organization (IACO),Africa
IGOIAD,Intergovernmental Authority on Development (IGAD),Africa
IGOCEM,Monetary and Economic Community of Central Africa,Africa
IGONEP,New Economic Partnership for Africa's Development,Africa
IGOOAU,Organization of African Unity (OAU),Africa
IGOPAP,Pan-African Parliament,Africa
IGOSAD,Southern African Development Community,Africa
IGOWAD,West Africa Development Bank,Africa
IGOWAM,West Africa Monetary and Economic Union,Africa
IGOACC,Arab Cooperation Council,Middle East
IGOAEU,Arab Economic Unity Council,Middle East
IGOARL,Arab League,Middle East
IGOAMU,Arab Maghreb Union,Middle East
IGOAMF,Arab Monetary Fund for Economic and Social Development,Middle East
IGOGCC,Gulf Cooperation Council,Middle East
IGOAPE,Org. of Arab Petroleum Exporting Countries (OAPEC),Middle East
IGOADB,Asian Development Bank,"Asia, Europe"
IGOASN,Association of Southeast Asian Nations (ASEAN),"Asia, Europe"
IGOCIS,Commonwealth of Independent States,"Asia, Europe"
IGOCOE,Council of Europe,"Asia, Europe"
IGOSCE,Council of Security and Cooperation in Europe (OSCE),"Asia, Europe"
IGOEBR,European Bank for Reconstruction and Development,"Asia, Europe"
IGOEFT,European Free Trade Association,"Asia, Europe"
IGOEEC,European Union,"Asia, Europe"
IGOSAA,South Asian Association,"Asia, Europe"
IGOSOT,Southeast Asia Collective Defense Treaty (SEATO),"Asia, Europe"
NGOAMN,Amnesty International,Global
IGOCPC,Association of Coffee Producing Countries,Global
IGOBIS,Bank for International Settlements,Global
IGOCPA,Cocoa Producer's Alliance,Global
IGOCWN,Commonwealth of Nations,Global
IGOGOE,Group of Eight (G-8) (G-7 plus Russia),Global
IGOGOS,Group of Seven (G-7),Global
IGOGSS,Group of Seventy-Seven (G-77),Global
IGOHIP,Highly Indebted Poor Countries (HIPC),Global
NGOHRW,Human Rights Watch,Global
IGOUNOIAE,International Atomic Energy Agency (IAEA),Global
IGOICO,International Cocoa Organization (ICCO),Global
NGOJUR,International Commission of Jurists,Global
IGOUNOICJ,International Court of Justice (ICJ),Global
IGOICC,International Criminal Court,Global
NGOICG,International Crisis Group,Global
NGOFID,International Federation of Human Rights (FIDH),Global
NGOCRC,International Fed. of Red Cross and Red Crescent (ICRC),Global
IGOIGC,International Grains Council,Global
NGOIHF,International Helsinki Federation for Human Rights,Global
IGOUNOILO,International Labor Organization,Global
IGOIMF,International Monetary Fund (IMF),Global
NGOIOM,International Organization for Migration,Global
IGOUNOWCT,International War Crimes Tribunals,Global
IGOIPU,Inter-Parliamentary Union,Global
IGOITP,Interpol,Global
IGOIDB,Islamic Development Bank,Global
NGOMSF,Medecins Sans Frontieres (Doctors Without Borders),Global
IGONAT,North Atlantic Treaty Organization (NATO),Global
IGOOAS,Organization of American States,Global
IGOOIC,Organization of Islamic Conferences (OIC),Global
IGONON,Organization of Non-Aligned Countries,Global
IGOOPC,Organization of Petroleum Exporting Countries (OPEC),Global
NGOXFM,Oxfam,Global
IGOPRC,Paris Club,Global
NGOIRC,Red Cross,Global
NGORCR,Red Crescent,Global
IGOUNO,United Nations,Global
IGOUNOKID,United Nations Children's Fund (UNICEF),Global
IGOUNOFAO,United Nations Food and Agriculture Organization,Global
IGOUNOHCH,UN High Commission for Human Rights,Global
IGOUNOHCR,UN High Commission for Refugees,Global
IGOUNOWBK,World Bank,Global
NGOWEF,World Economic Forum,Global
IGOUNOWFP,World Food Program,Global
IGOUNOWHO,World Health Organization,Global
IGOWTO,World Trade Organization (WTO),Global